,Review_text,Sentiment_NLTK_numeric
0,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",1
1,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,0
2,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,0
3,"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",1
4,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1
5,Good quality product. Delivered on time.READ MORE,1
6,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,1
7,Good quality original shuttles.READ MORE,1
9,nice original productsREAD MORE,1
10,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,1
11,Best in class....READ MORE,1
13,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",0
14,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,1
17,"Poor quality, not originalREAD MORE",0
19,nice and original productREAD MORE,1
20,Very nice and Good price compare then local sports.READ MORE,1
21,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,1
23,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",0
25,Good sealed Original Yonex ShuttlesREAD MORE,1
27,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,1
29,good productREAD MORE,1
30,Good product.....READ MORE,1
31,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,1
34,Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,0
36,Very bad quality.READ MORE,0
37,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,0
39,No one better shuttles in the market.good quality and reasonable price.READ MORE,1
40,low qualityREAD MORE,0
41,Superb quality... And best price.. Thanks to flipkart..!READ MORE,1
42,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,0
43,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,1
44,Very bad quality this timeREAD MORE,0
45,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",0
46,"Quality is not good, rejected qualityREAD MORE",1
47,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,1
48,Really Nice productQuick delivery Thanks filpkartREAD MORE,1
49,Very nice shuttleREAD MORE,1
50,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,0
51,Quality very low. Not orginalREAD MORE,0
53,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1
54,Dont but it.... worst productREAD MORE,1
55,Low quality very bad quality 😡READ MORE,0
56,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",0
57,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,0
59,Waste productREAD MORE,0
60,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,0
62,"Bad bad , compare to ah year back coming mavis 350READ MORE",0
63,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",1
64,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,0
65,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1
66,3rd class quality  I want Returns but time is overREAD MORE,1
67,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,0
68,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1
69,Very bad quality 👎READ MORE,0
71,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,0
72,not durable. very poor qualityREAD MORE,1
77,This product is not original.please avoid online purchase.READ MORE,1
78,One shuttle was damaged and vobling..let me know what to doREAD MORE,0
79,Good quality productREAD MORE,1
80,Good shuttle and  classic productREAD MORE,1
81,got defective piecesREAD MORE,0
82,"bad packing, unsatisfiedREAD MORE",0
84,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,1
85,Nice cockeREAD MORE,1
86,Good qualityREAD MORE,1
90,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",1
91,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,1
92,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",1
93,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,1
94,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",1
95,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",1
96,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",1
97,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",1
98,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",1
99,very good product n durable but not good enough speed slows down little in mid airREAD MORE,1
100,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,1
101,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,1
102,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,1
103,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",1
104,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1
105,Cost is too high I hate the productREAD MORE,0
106,Very poor quality...inconsistent speed...poor flightREAD MORE,0
107,Yonex is always best in quality....READ MORE,1
108,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,0
109,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",1
110,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,1
111,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,1
113,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,0
115,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",1
116,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,1
117,"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",0
118,Best shuttle available online no more discription needed.READ MORE,1
120,best shuttleREAD MORE,1
122,Fabulous itemREAD MORE,1
123,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,1
124,Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1
125,This is the original mavis 350READ MORE,1
126,Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,0
128,Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,0
129,Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,0
130,Best oneREAD MORE,1
131,Excellent product👌READ MORE,1
132,Very Bad Quality in filpkartREAD MORE,0
133,Delicate productREAD MORE,1
134,Bad qualityREAD MORE,0
135,Don't have good qualityREAD MORE,0
137,It's is good product and the service was very goodREAD MORE,1
141,All shuttles are not good in view of balance.READ MORE,0
143,Nice product all suttles are good 🥰🥰READ MORE,1
144,Nice productREAD MORE,1
146,Super ballREAD MORE,1
150,Quality not good              It was broken after 2 matchREAD MORE,0
151,Nice product but damage in 1 daysREAD MORE,0
152,Not good at all this is the worst product I have bought at flipkartREAD MORE,0
153,Low quality. Not durabalityREAD MORE,0
155,Very bad qualityREAD MORE,0
156,Very bad product a word to describe I write duplicate productREAD MORE,0
158,Poor quality ☹️READ MORE,0
159,Very  low bad quality product Flipkart is fooling everyoneREAD MORE,0
161,Very bad product I ever receivedREAD MORE,0
162,Bad copy quality riceveREAD MORE,0
163,Waste of moneyREAD MORE,0
164,Quality is very bad and very very tired class shuttecockREAD MORE,0
166,So poor qualityREAD MORE,0
168,The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,0
170,Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,0
171,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",0
173,Good quality of shuttlesREAD MORE,1
174,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",1
175,Bad productedREAD MORE,0
176,Good productREAD MORE,1
178,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,1
179,Good productREAD MORE,1
182,Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,1
183,Good qualityREAD MORE,1
184,Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,0
186,I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,1
187,This item is so good you can buy it it is originalREAD MORE,1
188,Excellent for Indoor courtREAD MORE,1
189,Genuine product. Nice packing.READ MORE,1
190,Good quality..😍🖤READ MORE,1
191,Nice thanks  FlipkartREAD MORE,1
192,Nice productREAD MORE,1
194,Nice productREAD MORE,1
195,wow productREAD MORE,1
196,1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,0
199,"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1
203,poor qualityREAD MORE,0
204,2 balls are waste. they are rotate. unable to play.READ MORE,0
205,very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,0
206,original productREAD MORE,1
208,good as expectedREAD MORE,1
211,"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",1
215,nice shuttle for outdoorREAD MORE,1
216,good productREAD MORE,1
217,amazing cost and amazing oneREAD MORE,1
218,The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,1
219,good dilevary and very good productREAD MORE,1
222,Looks like these are fake shuttles & not sold by yonex.READ MORE,0
223,worst product not to buy low qualityREAD MORE,0
226,"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",0
227,bad qualityREAD MORE,0
228,Very good productREAD MORE,1
229,best quality shuttlesREAD MORE,1
230,good quality. value the moneyREAD MORE,1
234,shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,1
235,"Bad Quality,,,,,,READ MORE",0
236,Quality is not good. Little bit fast.READ MORE,0
237,Excellent it's original as I buy in local sports storesREAD MORE,1
238,"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",0
239,The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,0
240,Nice product best price superREAD MORE,1
241,If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,1
242,Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,1
244,It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,0
245,Horrible shuttle I ever playREAD MORE,0
246,"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",0
248,"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",1
249,Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,0
250,"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",1
251,nice itemsREAD MORE,1
252,Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,1
253,shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,1
254,I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,1
255,it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,1
256,Not convinced with the quality of product.READ MORE,0
257,"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",0
259,Value for MoneyREAD MORE,1
260,Excellent product but cost is higherREAD MORE,1
261,one Shuttle just broken in 4 days by a smashREAD MORE,0
263,"nice shuttle , The Flight is correct, and good durability.READ MORE",1
264,Ball best but local rate are highREAD MORE,1
265,"Good, but flipcart price is too high. From the market we get it only 110 rs per peaceREAD MORE",1
266,"Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",1
267,Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,1
268,Very worst rateREAD MORE,0
270,Worst product.Dont go for it.It will not stand for an hour playREAD MORE,0
271,You are fleecing customers by tagging wrong MRP.READ MORE,0
272,Better for beginnersREAD MORE,1
273,"shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",0
275,1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,0
276,Nice product for practiceREAD MORE,1
278,Good oneREAD MORE,1
281,It is good .READ MORE,1
282,Original product with great discountREAD MORE,1
283,Good productREAD MORE,1
284,"Absolutely good quality shuttles,and great packing by the team.READ MORE",1
285,Product  is  good  but  price  is  increased  Retailer  price  is  620 .READ MORE,1
286,"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",1
287,"Best cicks,but price was very highest please think itREAD MORE",1
288,Poor product...READ MORE,0
289,Poor qualityREAD MORE,0
290,Value for moneyREAD MORE,1
294,Quality not good and rotate the cork new oneREAD MORE,0
295,Very worst productREAD MORE,0
296,Best qualityREAD MORE,1
297,One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this productREAD MORE,0
298,"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one matchREAD MORE",0
299,Bad quality .READ MORE,0
300,Nice product and packingREAD MORE,1
303,Best qualityREAD MORE,1
304,Going bad quickly. 1 to 2 days.READ MORE,0
305,"Extremely good,fully satisfied with its quality wishes to place repeat orderREAD MORE",1
306,Best shuttle corkREAD MORE,1
307,After playing 3to 4 matches cork gets rotate.  No longer used to play further games.READ MORE,1
308,Good quality productREAD MORE,1
309,Best for out gameREAD MORE,1
310,You. Should definitely buy thisREAD MORE,1
311,"Nice quality, genuine product and affordable priceREAD MORE",1
312,It is good for outdoor. Easy to spoil when it contact with water.READ MORE,1
313,Nice must buyREAD MORE,1
315,Good productREAD MORE,1
316,Nice oneREAD MORE,1
317,Excellent 👌READ MORE,1
318,Thanks FlipkartREAD MORE,1
319,Best oneREAD MORE,1
322,Very good productREAD MORE,1
323,Breaking in 1 hour game . Bad qualityREAD MORE,0
327,Good productsREAD MORE,1
329,Nice product and longlifeREAD MORE,1
332,Very nice product thank you Flipkart original Mavis 350 ....READ MORE,1
333,Nice product. .READ MORE,1
336,I received original product.READ MORE,1
337,"Very good shutles ,READ MORE",1
339,One ball play on one weekREAD MORE,1
341,Best products of whole yonex companyREAD MORE,1
342,Bad quality...READ MORE,0
346,Okay okREAD MORE,1
349,"It was a genuine product, received in perfect condition.READ MORE",1
351,Easily got damagedREAD MORE,1
352,Worst boxREAD MORE,0
355,Now a days getting bad quality.READ MORE,0
356,THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITEREAD MORE,1
357,Nice 👍👍👍READ MORE,1
358,Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.READ MORE,1
359,Very bad not goodREAD MORE,0
361,Very bad productREAD MORE,0
363,Very poor quality. Don't buy.READ MORE,0
366,Product is good prices are highREAD MORE,1
369,Very good productREAD MORE,1
